,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
2015-01-23 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-01-26 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-01-27 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-01-28 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-01-29 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-01-30 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-02 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-03 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-04 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-05 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-06 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-09 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-10 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-11 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-12 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-13 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-17 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-18 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-19 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-20 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-23 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-24 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-25 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-26 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-02-27 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-03-02 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-03-03 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-03-04 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-03-05 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-03-06 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-03-09 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-03-10 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-03-11 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-03-12 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-03-13 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-03-16 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
2015-03-17 00:00:00+00:00,4.15359376834984e-14,0.003470214177590135,0.00241157098881656,1.4595150397357727e-14,0.0,0.0,2.8155225037865738e-14,4.0415561970330415e-14,1.0675840462536403e-13,5.436835295834273e-14,3.697118036249044e-14,4.203803411385397e-14,4.8497261516444953e-14,0.0,2.138832449111879e-13,0.0,0.0,0.0
