date,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
2010-11-29 00:00:00+00:00,22.897098012,89.9482470139,99.4223886775,70.3350344317,36.1021014926,64.6006333725,31.7205118008,50.4814678787,10.0633860088,26.2751655363,27.1695169952,29.0904193846,20.8278212048,22.2265290552,11.7620452567,16.6574402466,35.8936224711,38.6941197641
2010-11-30 00:00:00+00:00,22.7284269401,89.5580512745,98.8633671903,69.7078653692,36.0447575601,63.9708683473,31.6504692685,50.3049872982,10.0080166223,26.0343456885,27.1030268955,29.1069621309,20.6211789109,22.197663433,11.5294405383,16.4458365849,35.4624678468,38.5426924998
2010-12-01 00:00:00+00:00,23.2302233791,91.5903207507,100.9659554705,71.1483865588,36.9786444605,65.4872762369,32.3246286416,51.7970503882,10.2104609419,26.5331868018,27.8011729425,29.9010139537,21.0602937854,22.4574540324,11.7388623197,16.7674741507,36.2501541796,38.8366395423
2010-12-02 00:00:00+00:00,23.5245543996,92.4601320865,102.2592141349,71.9020476678,37.543891795,66.4153510109,32.7448838352,52.5671474669,10.4717352348,26.7396038142,28.2333585907,30.3559394772,21.3099865572,22.5224016822,12.0255864025,17.0044702517,37.3777893508,39.3639627214
2010-12-03 00:00:00+00:00,23.6139078999,92.6227136445,102.5345530764,72.080955373,37.7650755346,65.8974521415,32.7623944683,52.7997809594,10.50668716,26.7396038142,28.2915374279,30.612352045,21.3573420829,22.5693083182,12.1808112846,17.1652890346,37.5535677746,39.4209706326
2010-12-06 00:00:00+00:00,23.5928661837,92.4601320865,102.4260862207,72.0425943863,37.5602757757,65.3961260359,32.7974157344,52.97626154,10.4890381681,26.5675896372,28.2728370874,30.6619802839,21.3616471307,22.5079688711,12.2505151651,17.1822173275,37.3860807859,39.4423485993
2010-12-07 00:00:00+00:00,23.5928661837,92.4520030085,102.4844914507,72.1335363806,37.6585796599,65.205539252,32.8149263675,52.7757154257,10.5063411014,26.5847910549,28.3497162652,30.7033371497,21.3874774174,22.3564243548,12.172980259,17.2541625725,37.3114578702,39.5706163997
2010-12-08 00:00:00+00:00,23.6641297116,92.582068255,102.8599536435,72.5055718118,37.3227080554,64.45976488,32.7273732021,52.527038244,10.6759098477,26.6105931815,28.2499811156,30.3807535967,21.5682894246,22.2770438939,12.1808112846,17.2753229387,37.0544233826,38.9791593204
2010-12-09 00:00:00+00:00,23.7141406844,92.6064554887,103.2604466493,72.8280025188,37.568467766,64.4431921162,32.7711497848,52.6473659126,10.8074121408,26.6535967257,28.3330937402,30.5461810598,21.5855096157,22.3708571659,12.2768770332,17.2837870851,37.0378405124,38.5587259749
2010-12-10 00:00:00+00:00,23.9049076667,92.9072313712,103.8611861579,73.2827124903,37.7159235924,64.650351664,32.8849688997,52.863955716,10.9039625087,26.9116179912,28.5865872454,30.8108650007,21.6845257149,22.4574540324,12.4288454492,17.4192134286,37.2534178246,38.9577813537
2010-12-13 00:00:00+00:00,23.9049076667,93.0698129293,103.9279349922,73.4811313869,37.9534913127,65.0398116138,32.7273732021,53.3131790119,10.8970413353,26.9546215355,28.6073654015,30.9762924638,21.6457802848,22.5620919126,12.4055849774,17.5631039185,37.5602009226,39.0575451984
2010-12-14 00:00:00+00:00,23.9259915507,93.4925249803,104.0197146394,73.3670405213,37.9944512645,64.8160793022,32.7186178856,53.0645018302,10.8004909675,27.2255438642,28.740345601,30.9514783444,21.6802206671,22.6234313597,12.4408633596,17.6308170903,37.5850752279,38.6584898196
2010-12-15 00:00:00+00:00,23.8489088708,93.3949760455,103.544129195,73.2496426742,37.3964359686,63.539976488,32.6135540872,52.7757154257,10.713976301,27.1438371302,28.6239879265,30.7860508813,21.5941197113,22.4285884102,12.2505151651,17.4530700145,36.9631346824,38.2309304852
2010-12-16 00:00:00+00:00,23.9555089883,93.6794937721,104.1448687037,73.2496426742,37.5193158239,63.539976488,32.6135540872,52.7757154257,10.713976301,27.1438371302,28.6239879265,30.7860508813,21.5941197113,22.4285884102,12.3358035619,17.6731378226,36.8554289406,38.3306943299
2010-12-17 00:00:00+00:00,23.9964960588,93.6577810051,104.2556383942,73.5731059862,37.5193158239,63.0215779498,32.9021643414,53.0909017207,10.7874722405,27.3797717753,28.8545506585,31.3179167179,21.6716105715,22.7464566413,12.2505151651,17.5631039185,36.7244242663,38.629985864
2010-12-20 00:00:00+00:00,24.044061301,93.4948270581,104.507261013,73.6645217962,37.6654191527,62.6306045913,33.0959137032,53.437374444,10.7944184557,27.3711264417,28.8461967064,31.4179739598,21.6888925576,22.7756655744,12.2264390261,17.6900661155,36.7276554386,39.0717971762
2010-12-21 00:00:00+00:00,24.2051421747,93.9510981096,105.1698672425,74.0966692616,38.103306507,63.9366219802,33.2368223299,53.977227292,10.9819662667,27.3019637722,29.080107366,31.7348218925,21.8185074534,22.7829678077,12.3825876727,17.7831717267,37.294518584,39.4993565106
2010-12-22 00:00:00+00:00,24.3055014625,94.1710859379,105.496976647,74.3792272197,38.1364434817,63.745294592,33.2808562757,54.1625499115,11.1035250331,27.3776104419,29.1469389831,31.7181456855,21.7925844742,22.8851990735,12.3825876727,17.8339566055,37.4806527512,39.7712870977
2010-12-23 00:00:00+00:00,24.246095511,94.2933013981,105.3460030757,74.3376745788,37.9050631096,63.2628168305,33.139947649,54.3156425101,11.0236435581,27.362481108,29.0884613181,31.8015267204,21.7839434812,22.89980354,12.3357430787,17.8593490449,37.5567985469,39.6488474235
2010-12-27 00:00:00+00:00,24.2588476947,94.1384951485,105.3879401788,74.3958482761,38.0124897109,63.0340558229,33.0430729681,54.1222623855,11.1208905712,27.3106091059,29.1385850309,31.8515553414,21.8271484464,22.9144080066,12.3045133494,17.7806324827,37.751393358,39.9657501096
2010-12-28 00:00:00+00:00,24.3096022333,94.3421875822,105.5389137501,74.5537483115,37.9629082026,62.3061798896,32.9726186548,54.3237000153,11.1222798142,27.3278997732,29.1218771267,31.9182601693,21.8012254673,22.9947325726,12.2186315938,17.7979036168,37.8444604416,40.1242014526
2010-12-29 00:00:00+00:00,24.3308276288,94.4299219872,105.6144005358,74.5703693679,38.334769515,63.1380380991,33.0783001248,54.8635528633,11.1000519255,27.3365451069,29.1469389831,32.0516698252,21.8444304325,22.9144080066,12.3493326954,17.9706149571,38.1236616923,40.3042597969
2010-12-30 00:00:00+00:00,24.2715151463,94.2666190526,105.4466521232,74.4140483328,38.5826770566,62.9883036214,33.0166526006,54.9118978945,11.0653208494,27.2414464364,29.0968152703,32.0516698252,21.7925844742,22.8778968402,12.3806364538,17.944708256,38.0390552527,40.3546761333
2010-12-31 00:00:00+00:00,24.2554160439,94.4135916938,105.4718143851,74.3792272197,38.7943900971,63.4208698903,32.9461982873,54.9924729464,11.0792132798,27.2328011027,29.1302310788,32.0266555147,21.7666614951,22.8851990735,12.3963665924,17.936072689,38.0305946087,40.3042597969
2011-01-03 00:00:00+00:00,24.5384213174,95.0504731391,106.5621790666,75.2505029942,39.3181360966,64.4149404506,33.3336970108,55.4034057113,11.3223308126,27.4813544461,29.3390798821,32.285136723,22.0086093005,22.9965581309,12.5762849439,18.0569706272,38.9105015808,40.9308628352
2011-01-04 00:00:00+00:00,24.4511472361,95.238271514,106.5034671222,75.4429748269,39.4503534522,65.4256481752,33.1487544382,54.9280129048,11.3049652746,27.5699691164,29.2973101214,32.0683460322,22.095019231,23.100614955,12.5294075657,17.9706149571,38.7328280576,40.2034271241
2011-01-05 00:00:00+00:00,24.60213987,95.5648773834,107.0570368836,75.8417970743,39.5412528841,65.7583914589,33.4217649025,55.1455655451,11.4404164714,27.6304864522,29.4476812597,32.1433889636,22.2246341268,22.9582214062,12.4980255479,17.7892680497,39.0695616872,40.3690808009
2011-01-06 00:00:00+00:00,24.5499448854,95.3525835683,106.8473513679,75.7006012005,39.3346632661,65.3507809363,33.2192087516,54.6218277075,11.365397347,27.74287579,29.397557547,31.9766268938,22.3542490225,22.980128106,12.4432439707,17.6942768126,38.891888164,40.1530107877
2011-01-07 00:00:00+00:00,24.479108835,95.1811154868,106.6376658523,75.5217586341,39.0784921398,65.063789854,33.2015951732,55.016645462,11.2632879832,27.7255851227,29.4560352119,31.9474435315,22.2505571059,23.0622782303,12.3415067558,17.7029123796,39.1135570358,40.1386061201
2011-01-10 00:00:00+00:00,24.5028338279,94.8790050577,106.5034671222,75.3016958478,38.8636389371,64.6312235851,33.1751748057,54.7990928217,11.2351558116,27.6477771195,29.4978049725,31.9849649973,22.2699993403,22.9363147064,12.4823736687,17.6510989775,39.0289505962,40.1242014526
2011-01-11 00:00:00+00:00,24.5680775587,95.1647851934,106.8809010504,75.4762169396,39.2850817578,65.0929048914,33.1663680165,55.7095909086,11.2806535213,27.7861024585,29.6064063502,32.2434462055,22.2332751198,22.9691747561,12.615414642,17.7115479466,39.3606078395,40.0521781148
2011-01-12 00:00:00+00:00,24.7799078532,95.8588226658,107.8454544225,76.1909223632,39.9709592895,66.1327276532,33.2456291191,56.475053902,11.4702851969,27.9330731311,29.848670962,32.5602941382,22.43201796,23.0896616051,12.9096699711,18.0742417612,39.8665543484,40.2322364592
