,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
ITOT,0.009145006938875478,0.008685164430650755,0.008964674951042924,0.008922173404909778,0.008800061343651504,0.010556435817491466,0.009259661259243919,0.009719843497456224,0.009776633715852249,0.00872112475357561,0.009488986053916135,0.009421454463485197,0.01060132479047241,0.0032261256030922648,0.009144772054945275,0.007324918286930543,0.008164367309282834,0.005555797413872584
DIA,0.008685164430650757,0.009019745893006496,0.008700065534888914,0.008752910574032328,0.008496242896579322,0.009993694907148824,0.00875986765703984,0.00934243370439329,0.009778105516167855,0.00824286673288943,0.009489145645204323,0.009191887148211684,0.009989407793809562,0.0030482148711748467,0.008455093837194366,0.007050592030177511,0.007775838065429186,0.005101818658392953
SPY,0.008964674951042924,0.008700065534888916,0.008962656513383755,0.008960918658768274,0.008766230400055431,0.010484262627764251,0.009097763600102794,0.009661428249350432,0.009702654339110276,0.008656430342419499,0.009301552235400376,0.009221591393933887,0.010472115930638584,0.0032904832329374374,0.009015226586798994,0.0072360593838161425,0.007997018306112949,0.005452753187461904
XLG,0.00892217340490978,0.008752910574032328,0.008960918658768273,0.009372670204136943,0.008720950330095562,0.01043518776237608,0.00907973181376024,0.009290082244630448,0.00953687032156825,0.008651069018900089,0.009022139596275009,0.008779857563255234,0.010924886317484731,0.002997772848988578,0.00873563197473591,0.006959955470535526,0.007649750409944447,0.005094208988430947
AIA,0.008800061343651506,0.008496242896579322,0.008766230400055433,0.008720950330095562,0.016614598219998743,0.018794495805652955,0.009193102237506745,0.010233218801811944,0.009157884963669283,0.007591915738849851,0.009268686333453919,0.009724187483014762,0.010718747820103779,0.002751632424752333,0.012340039147134088,0.008490359589139029,0.00943069492489299,0.005264117570657086
GXC,0.010556435817491463,0.009993694907148822,0.01048426262776425,0.010435187762376077,0.018794495805652955,0.026434954087366704,0.011112036377644671,0.011868894797088365,0.011011825575154444,0.00935683712389868,0.010970793809877715,0.011523941688732872,0.013069631242450629,0.00246788443545909,0.01553331637903821,0.0098897392269876,0.011028789201857602,0.005993513978550561
XLY,0.009259661259243919,0.00875986765703984,0.009097763600102796,0.00907973181376024,0.009193102237506743,0.011112036377644673,0.011382444226577117,0.008982139364849926,0.009502198923589727,0.008342713988830658,0.009416915799157832,0.009142895724140794,0.01089891989907148,0.0027164220813900397,0.009303363248802713,0.007164066476089222,0.008240133921422801,0.005594973156472385
XLE,0.009719843497456223,0.009342433704393286,0.009661428249350432,0.009290082244630446,0.01023321880181194,0.011868894797088362,0.008982139364849923,0.02204504884372938,0.010316955873619329,0.007883723592078196,0.010366309603564355,0.012090545213342534,0.009668457019644514,0.002974427401785465,0.01163599953579923,0.008546440026440068,0.009620554905660026,0.004933961716320271
XLF,0.009776633715852249,0.009778105516167855,0.009702654339110273,0.009536870321568252,0.009157884963669281,0.011011825575154444,0.009502198923589725,0.010316955873619329,0.014158122070174799,0.008947973612965213,0.010568917570543677,0.010305511373156122,0.010268946615593575,0.0018729414272902745,0.009367041902953082,0.007561900730612337,0.008982657729740898,0.004879900227475892
XLV,0.008721124753575608,0.008242866732889431,0.008656430342419495,0.008651069018900089,0.007591915738849849,0.009356837123898676,0.008342713988830654,0.007883723592078198,0.008947973612965211,0.012734735026708115,0.008522380546220936,0.00842965224031087,0.009385917485893958,0.003343097952136036,0.008021657065645997,0.006623663740642983,0.007001556918420135,0.005287775938274686
