,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
ITOT,0.00015849189360990284,0.0001573236555250528,0.00015954257129141374,0.00016406739551053697,0.00015429907350575142,0.00018018509114746,0.00016365701784493565,0.00017621087469832218,0.00016792858224042874,0.00015017860660458584,0.00016048817363568005,0.00015993030741102334,0.00019022261106764948,6.205735920511875e-05,0.00015506198709772253,0.00012500405367717011,0.00013427845683385432,0.00010584910260036159
DIA,0.0001573236555250528,0.00016566385665782966,0.00015968047730115695,0.00016472697804863226,0.00015134613901150306,0.00017421473493090556,0.00016171642851628637,0.0001756571765165097,0.00017328088958014026,0.00014701447662381854,0.00016754073110260617,0.00016392184582437878,0.00018658416749825884,6.203227587926585e-05,0.00014797230413355822,0.00012443850372821522,0.00013298718663955818,0.00010396672911095548
SPY,0.00015954257129141374,0.00015968047730115695,0.00016158411181504864,0.00016672760184548676,0.00015682640730877494,0.00018248794009405504,0.00016509839734097062,0.00017737239673049738,0.00016904797328312157,0.00015157177503062667,0.0001618337583705496,0.00016098938048341414,0.00019278240254441142,6.45297085907573e-05,0.00015583878852872845,0.00012598280496394878,0.0001344100061138665,0.00010676482817191104
XLG,0.00016406739551053697,0.00016472697804863226,0.00016672760184548676,0.00017737265145439303,0.00016097740129417205,0.000188504336517921,0.00017127469524583428,0.00017680245780790917,0.00016990427474697446,0.00015569203127551205,0.00016368300465303886,0.00016022221271929485,0.0002066714034138985,6.261516896619586e-05,0.00015690393392496803,0.0001260383651670087,0.00013344463601827568,0.00010417600641677895
AIA,0.00015429907350575142,0.00015134613901150306,0.00015682640730877494,0.00016097740129417205,0.00025017305675396017,0.0002884467358427025,0.00016426803664106265,0.00017889571055587224,0.00015859795628563478,0.00013512634799744776,0.00015738957444053048,0.00016526418902000872,0.0001968654156515439,5.609149675033337e-05,0.00020339032866752724,0.0001403461334210417,0.0001440571935598184,9.579816717689332e-05
GXC,0.00018018509114746,0.00017421473493090556,0.00018248794009405504,0.000188504336517921,0.0002884467358427025,0.00038749728344939546,0.00019330269385582792,0.00020806964486055543,0.00018291360204593835,0.0001612020308789834,0.0001813799703208373,0.00019346930867158595,0.00023227079181548774,5.781389751151383e-05,0.00025717822351743497,0.00016541897627600732,0.00016354139762493505,0.00010578828286328356
XLY,0.00016365701784493565,0.00016171642851628637,0.00016509839734097062,0.00017127469524583428,0.00016426803664106265,0.00019330269385582792,0.00019374132969671664,0.00016686764680435523,0.00016500959363080877,0.00014716230114967003,0.00016202191561995452,0.00015663677330151956,0.0002017403544112477,5.8348177220797225e-05,0.00015783917313011268,0.00012425637485930925,0.0001384745665431184,0.00011144689105538133
XLE,0.00017621087469832218,0.0001756571765165097,0.00017737239673049738,0.00017680245780790917,0.00017889571055587224,0.00020806964486055543,0.00016686764680435523,0.0003367940473845571,0.00018928966889942495,0.00015533719375866094,0.00018207736293141875,0.00021401863466312805,0.00018677619430976632,6.381168646946306e-05,0.0001931559539203385,0.0001493580877960737,0.00016151752488367978,0.00010682856912969396
XLF,0.00016792858224042874,0.00017328088958014026,0.00016904797328312157,0.00016990427474697446,0.00015859795628563478,0.00018291360204593835,0.00016500959363080877,0.00018928966889942495,0.00022925447822514324,0.00015724425170895336,0.0001778298077198822,0.00017644519172083914,0.00017913492698645795,4.8537648530225175e-05,0.00015518171994245754,0.0001323206781484381,0.00014537198547391549,0.00010314147506474818
XLV,0.00015017860660458584,0.00014701447662381854,0.00015157177503062667,0.00015569203127551205,0.00013512634799744776,0.0001612020308789834,0.00014716230114967003,0.00015533719375866094,0.00015724425170895336,0.00018665315339132956,0.00014618368242569888,0.0001441318504677581,0.0001695469978366293,5.903778000331507e-05,0.00013850228853898582,0.00011617430901939363,0.00011372207386166138,9.849781308758531e-05
XLI,0.00016048817363568005,0.00016754073110260617,0.0001618337583705496,0.00016368300465303886,0.00015738957444053048,0.0001813799703208373,0.00016202191561995452,0.00018207736293141875,0.0001778298077198822,0.00014618368242569888,0.00018927821441088843,0.00017987839864034552,0.00018288923623036238,5.9210375166116134e-05,0.00015529940676743158,0.00013298693781856757,0.00014108768963806942,0.00010170569721556941
XLB,0.00015993030741102334,0.00016392184582437878,0.00016098938048341414,0.00016022221271929485,0.00016526418902000872,0.00019346930867158595,0.00015663677330151956,0.00021401863466312805,0.00017644519172083914,0.0001441318504677581,0.00017987839864034552,0.00022251512595525182,0.0001786361244315759,5.1836198720074626e-05,0.00016626127577431843,0.00013458441179127841,0.00015427846546182998,9.885943491108808e-05
XLK,0.00019022261106764948,0.00018658416749825884,0.00019278240254441142,0.0002066714034138985,0.0001968654156515439,0.00023227079181548774,0.0002017403544112477,0.00018677619430976632,0.00017913492698645795,0.0001695469978366293,0.00018288923623036238,0.0001786361244315759,0.00026929718762173477,6.37781174469311e-05,0.0001855997339602368,0.00014228914612020774,0.00015596176956442803,0.00011428379827436288
XLU,6.205735920511875e-05,6.203227587926585e-05,6.45297085907573e-05,6.261516896619586e-05,5.609149675033337e-05,5.781389751151383e-05,5.8348177220797225e-05,6.381168646946306e-05,4.8537648530225175e-05,5.903778000331507e-05,5.9210375166116134e-05,5.1836198720074626e-05,6.37781174469311e-05,0.00013720972609014914,7.423331518976485e-05,6.77956667384343e-05,5.478952745020158e-05,0.00010187685817210566
ICLN,0.00015506198709772253,0.00014797230413355822,0.00015583878852872845,0.00015690393392496803,0.00020339032866752724,0.00025717822351743497,0.00015783917313011268,0.0001931559539203385,0.00015518171994245754,0.00013850228853898582,0.00015529940676743158,0.00016626127577431843,0.0001855997339602368,7.423331518976485e-05,0.00028510912136964114,0.00014847104387602007,0.0001503878827880437,0.00011046583635662128
CGW,0.00012500405367717011,0.00012443850372821522,0.00012598280496394878,0.0001260383651670087,0.0001403461334210417,0.00016541897627600732,0.00012425637485930925,0.0001493580877960737,0.0001323206781484381,0.00011617430901939363,0.00013298693781856757,0.00013458441179127841,0.00014228914612020774,6.77956667384343e-05,0.00014847104387602007,0.00012996115566816255,0.00011908578573361046,9.334420204871338e-05
WOOD,0.00013427845683385432,0.00013298718663955818,0.0001344100061138665,0.00013344463601827568,0.0001440571935598184,0.00016354139762493505,0.0001384745665431184,0.00016151752488367978,0.00014537198547391549,0.00011372207386166138,0.00014108768963806942,0.00015427846546182998,0.00015596176956442803,5.478952745020158e-05,0.0001503878827880437,0.00011908578573361046,0.00017552936370234426,0.00010179926921999893
IYR,0.00010584910260036159,0.00010396672911095548,0.00010676482817191104,0.00010417600641677895,9.579816717689332e-05,0.00010578828286328356,0.00011144689105538133,0.00010682856912969396,0.00010314147506474818,9.849781308758531e-05,0.00010170569721556941,9.885943491108808e-05,0.00011428379827436288,0.00010187685817210566,0.00011046583635662128,9.334420204871338e-05,0.00010179926921999893,0.00014469448574616514
