,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
ITOT,0.009108302067859234,0.008343478811967373,0.00885052238682946,0.008643215907867421,0.008788422859008231,0.010307999044582015,0.00914517365698612,0.00991121926606667,0.010020252597708867,0.008226108712042901,0.009448073248681348,0.009534884134725115,0.010013391707060143,0.0036633056857241887,0.009396363590680214,0.007753477154593897,0.008635937279199729,0.006063885429758427
DIA,0.008343478811967375,0.008510589714413248,0.00838232109008572,0.008292401020910183,0.008279676013007747,0.009556912303094089,0.008439614315125125,0.009361436011872046,0.00963697117382373,0.00765229289800704,0.009197198248560665,0.009056283526238268,0.009255349241539564,0.003365687549201428,0.008498302809628521,0.007220541421898978,0.00800076839947797,0.005417755888606372
SPY,0.00885052238682946,0.00838232109008572,0.008850657304195673,0.008680482694074182,0.008802033655284229,0.01028644561843093,0.008985964010219434,0.009906402474488044,0.009937726586385236,0.008165949641075806,0.00929994927307284,0.00939991366396623,0.009927644847154618,0.0036906014912764904,0.009302452557343606,0.0076534091953333475,0.008484525046953814,0.00594126763937946
XLG,0.008643215907867421,0.008292401020910183,0.008680482694074183,0.008921661215690909,0.008585976717123857,0.009989646264622948,0.008768617857417225,0.009381770077634537,0.009568156727311067,0.008005329093951335,0.008852357043019787,0.008792319899284985,0.010195122313909772,0.0033790910104898376,0.008887789564720413,0.007251603492547571,0.007994100810016511,0.005492818960607591
AIA,0.00878842285900823,0.008279676013007746,0.008802033655284229,0.008585976717123854,0.016388764994537276,0.018166347262377484,0.008943331220296363,0.010526272017995452,0.009683906283816896,0.00746024384010219,0.009462359181328053,0.0101601601670184,0.010242496882191051,0.0032653173253178653,0.01243995815000221,0.008898361509899214,0.010072929773493139,0.005968075298039116
GXC,0.010307999044582012,0.009556912303094084,0.010286445618430926,0.009989646264622945,0.018166347262377477,0.024903795441792897,0.01061656290392943,0.01216916441996831,0.01135485497450364,0.00885892034583903,0.011051678691222868,0.011879774380093354,0.012134584110821918,0.0031758358910386293,0.015515867040305376,0.010190671789052747,0.011547680546207124,0.006651361537361601
XLY,0.009145173656986121,0.008439614315125127,0.008985964010219434,0.008768617857417229,0.008943331220296365,0.010616562903929436,0.011197852509123828,0.009151343284657467,0.009785155923321697,0.007986915769468302,0.009424493414212146,0.009350276980257016,0.010233687805411803,0.0032570097842150804,0.009425694660522807,0.007594744735773208,0.008719633273695945,0.0061335799320230205
XLE,0.00991121926606667,0.009361436011872048,0.009906402474488048,0.009381770077634537,0.010526272017995454,0.012169164419968312,0.009151343284657469,0.020992200772514017,0.011103011036921356,0.007934288873079615,0.010750698358722489,0.012438173344748667,0.009697194378529625,0.003431473558037059,0.011752925289676705,0.009092105434056998,0.010276579504996672,0.0056778539115402765
XLF,0.010020252597708872,0.009636971173823734,0.009937726586385235,0.009568156727311065,0.009683906283816894,0.011354854974503644,0.009785155923321695,0.011103011036921353,0.014603934967496247,0.008661148546727082,0.010887143966308289,0.010852602634230782,0.010084859596816072,0.0028254692924650293,0.010462586095337163,0.008495366732315374,0.009953327398290182,0.006149884371405599
XLV,0.008226108712042901,0.00765229289800704,0.008165949641075804,0.008005329093951331,0.007460243840102188,0.008858920345839032,0.0079869157694683,0.007934288873079615,0.008661148546727084,0.01124794276999802,0.008144034835556618,0.008142653377858446,0.008514841785809957,0.00364749880316926,0.007955994500502347,0.0067650738550397325,0.007173342351595179,0.005503754594697541
