,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
ITOT,2.5995659784942888e-05,2.347334410345133e-05,2.5109660487288397e-05,2.372306545589329e-05,2.8761613763477563e-05,3.374224828442511e-05,2.4651085763290256e-05,2.80039086581089e-05,2.9770705440842105e-05,2.4287666536159657e-05,2.6889257092184953e-05,2.9038010186917518e-05,2.833388077879705e-05,8.400981059664594e-06,2.7783598516397665e-05,2.3268053023235005e-05,2.712690549657072e-05,1.6969995074360082e-05
DIA,2.347334410345133e-05,2.4579161031895758e-05,2.3241719799282752e-05,2.256739479587217e-05,2.7121212195875973e-05,3.136028182957957e-05,2.1894914129588175e-05,2.5535008747706114e-05,2.8756198268859322e-05,2.209504995793052e-05,2.6262959643791173e-05,2.7395577203073096e-05,2.5270492592081566e-05,7.760636638019446e-06,2.469537607955751e-05,2.0885860258873116e-05,2.4456889489345726e-05,1.4020582577892323e-05
SPY,2.5109660487288397e-05,2.3241719799282752e-05,2.468000746574964e-05,2.352775061152643e-05,2.7895838758166298e-05,3.251933913306926e-05,2.380929065655995e-05,2.6942567858184842e-05,2.8795706448906028e-05,2.4243360312569238e-05,2.609236604890967e-05,2.8109003262677602e-05,2.7933513737113433e-05,8.951801810563202e-06,2.6549092646762786e-05,2.234461358453085e-05,2.5737879704605156e-05,1.6276358476966533e-05
XLG,2.372306545589329e-05,2.256739479587217e-05,2.352775061152643e-05,2.4478906565292676e-05,2.629160411884349e-05,3.074659496674013e-05,2.2370194771586156e-05,2.390560038800798e-05,2.7414985243097897e-05,2.383451943550517e-05,2.3444812783316533e-05,2.4763621853861397e-05,2.8228410636643153e-05,6.904435599977172e-06,2.4209753281740998e-05,2.0003330107862504e-05,2.3442013499112066e-05,1.3843227198817625e-05
AIA,2.8761613763477563e-05,2.7121212195875973e-05,2.7895838758166298e-05,2.629160411884349e-05,7.380775286248283e-05,7.770632647402036e-05,2.8132048593208058e-05,3.913955414333793e-05,3.1451176844567115e-05,2.4664149254545927e-05,3.0277358919093355e-05,3.749753186455807e-05,3.147974564164852e-05,7.776012942890452e-06,4.877926022889229e-05,3.344563183950734e-05,4.145157581368104e-05,1.9566447109488232e-05
GXC,3.374224828442511e-05,3.136028182957957e-05,3.251933913306926e-05,3.074659496674013e-05,7.770632647402036e-05,0.00010578537833290461,3.389054920112088e-05,4.2256292493925114e-05,3.794102805568586e-05,2.911936449556074e-05,3.483420954672101e-05,4.0670657793256525e-05,3.8321653790583555e-05,3.164791845470978e-06,5.5984281829116744e-05,3.549507497885735e-05,4.448468120269386e-05,2.0738619079254844e-05
XLY,2.4651085763290256e-05,2.1894914129588175e-05,2.380929065655995e-05,2.2370194771586156e-05,2.8132048593208058e-05,3.389054920112088e-05,3.310239376477279e-05,2.1917667534319383e-05,2.661637515472993e-05,2.153613709976047e-05,2.4721715988263913e-05,2.6805406150037032e-05,2.633562269085829e-05,4.986906866375891e-06,2.5375824899308423e-05,2.0857472740636114e-05,2.5251736671941977e-05,1.538790706189943e-05
XLE,2.80039086581089e-05,2.5535008747706114e-05,2.6942567858184842e-05,2.390560038800798e-05,3.913955414333793e-05,4.2256292493925114e-05,2.1917667534319383e-05,9.760422500488133e-05,3.0804336024282575e-05,1.6655743506272163e-05,3.057986082536207e-05,4.1035265722538566e-05,2.256212746706876e-05,4.653711704725012e-06,4.242159012476871e-05,2.923737472553956e-05,3.498534822694356e-05,1.2805734710611298e-05
XLF,2.9770705440842105e-05,2.8756198268859322e-05,2.8795706448906028e-05,2.7414985243097897e-05,3.1451176844567115e-05,3.794102805568586e-05,2.661637515472993e-05,3.0804336024282575e-05,5.5576414719391056e-05,2.2564442962669616e-05,3.220695973590838e-05,3.3197010869720496e-05,2.9010676892257606e-05,-3.786865564675413e-06,3.064332474042525e-05,2.2560797782592542e-05,3.1635685350882204e-05,9.794756603239241e-06
XLV,2.4287666536159657e-05,2.209504995793052e-05,2.4243360312569238e-05,2.383451943550517e-05,2.4664149254545927e-05,2.911936449556074e-05,2.153613709976047e-05,1.6655743506272163e-05,2.2564442962669616e-05,4.168697145451539e-05,2.2237864521009882e-05,2.1961812800190304e-05,2.628457048260371e-05,9.463122258864047e-06,2.2290531341534866e-05,1.946128864844748e-05,2.1810225885007608e-05,1.5369853949456166e-05
