,INT,MKT,SMB,HML,RMW,CMA
ITOT,-0.0007862285625480585,0.0418844999298318,0.12013581270357963,0.013127635411765766,-0.2897153598602136,0.3830003071002544
DIA,-0.0005457270783988017,0.03979047969705799,0.1587198319586158,0.060211926521079075,-0.1939592551648153,0.35883787684544216
SPY,-0.0007429217369904706,0.042798258170404065,0.10964485348956003,0.01608114744577028,-0.27756390662006725,0.3782668171777545
XLG,-0.0006396193433757345,0.04683674280659186,0.07661650453566365,-0.0256980224381738,-0.27918902422214986,0.42520100133829203
AIA,-0.00121821541668876,0.15346248634646759,0.11198304838472468,-0.15270702733420283,-0.3948796214710056,0.46367586001907496
GXC,-0.0016783920148210436,0.2056550609501058,0.18149421052745274,-0.25080365702752405,-0.5529685214119707,0.5578007848662118
XLY,-0.0006898486338051333,0.046820404144091436,0.10133110019159806,-0.0595751829783702,-0.3888108469427844,0.46413956812012364
XLE,-0.0004787135857983382,0.10332516941493665,0.18923416455400005,0.16722078482939712,-0.3213010350805016,0.5753079745012248
XLF,-0.0003638889216371984,0.027444269664587448,0.26288885101935344,0.16430359762852567,-0.20383305655363632,0.29411905373908503
XLV,-0.0010330321054202538,0.05702209595469419,0.11958141367980364,-0.05629952680040977,-0.3729950692746216,0.40368257209295333
XLI,-0.0008086234580940733,0.018947160784527826,0.2062163813965448,0.19645035091842036,-0.19465806270273037,0.14189576877160917
XLB,-0.0008356068429279202,0.06839047598471301,0.17359759809769965,0.1338922540258479,-0.13122013463179746,0.3111808586223963
XLK,-0.0010391585235275376,0.051068205133346624,0.044273574346493504,-0.05725763993876345,-0.3623867685831522,0.5327412083506264
XLU,4.5754068104203066e-05,-0.04050110024846991,-0.05969892258346095,-0.09044611958182872,0.11161722429517942,0.051534171287607275
ICLN,-0.0004906131058618952,0.15797742479960153,0.0942454470836536,-0.07501733323323237,-0.5790334462937542,0.5455592425520589
CGW,-0.0009031186911671692,0.018478481118938007,0.08899158425503687,0.13807400537090633,-0.14577889826172266,0.05438112333208903
WOOD,-0.0015860793155902386,0.031032981314838552,0.1785076695907806,0.116527714436115,-0.42026663167448286,0.13815086399411236
IYR,-0.0005677863829142044,0.011368288238679516,0.028557873847949423,-0.03241880974256513,-0.260904407562977,0.2703609854686939
