,INT,MKT,SMB,HML,RMW,CMA
ITOT,0.0011490396936348602,-0.07690434637729263,0.013766469759020255,0.050267782383301714,0.028483022730627694,0.013329740186249424
DIA,0.0011414821404498805,-0.07828383611581274,-0.02493046900046463,0.04312559263013977,0.014544288115814074,0.010806806281678542
SPY,0.0011340239519874995,-0.07664457122423725,0.008413724756047592,0.04808230093610995,0.02134168720097256,0.013874126556791957
XLG,0.0011530668814432117,-0.08049526384611624,-0.024284825837204493,0.027472145034243382,0.022697261269284775,0.022979662495613826
AIA,0.0013753677228055545,-0.126728866454398,-0.01233971665026511,0.11664589486135214,-0.04335502473628106,-0.015149260554788213
GXC,0.0017736463891978946,-0.23373304518595128,0.04807353940310508,0.191771934275676,-0.10908319885811138,-0.013687843634498516
XLY,0.0012889540130414487,-0.09430646275201397,0.06061109364989326,-0.012047698639861498,0.02766075350594538,0.04585492244787642
XLE,0.00044042296366005507,-0.13962684904706418,0.0681375492877919,0.09426963149862921,0.11597341223073399,-0.12704736367141203
XLF,0.0009828761189483641,-0.09863730640043199,-0.017229622490185732,0.06283880733366216,0.06204060701399561,0.12468327558869713
XLV,0.001191770372055229,-0.06163049326265924,-0.02898244826485951,0.029188362970963423,0.04945851409585439,0.10582546913296151
XLI,0.0011480484672160445,-0.04970742014568693,-0.032062250119035234,0.0771296190250559,0.0016983932447666235,0.0704321009201984
XLB,0.0009010367273853678,-0.06243174617751999,0.06072343431742106,0.04484032053114979,-0.009336407627217843,-0.041199928207962214
XLK,0.0017077826934096864,-0.08696117061732281,-0.030508686146678,0.08068130587604258,0.002627687019586654,-0.059519070557128614
XLU,0.0004953415790043902,-0.11600080851742596,0.09036687080053214,0.0026286896280279964,-0.07003186949589789,-0.2063587753913478
ICLN,0.0005742064465977967,-0.11666322698920219,0.015353371315859999,0.20081058767706983,-0.14232446201261342,-0.35224577095079046
CGW,0.001015729096027334,-0.03810495599797277,-0.0005902722974213529,0.045119819355308205,-0.012288453861699548,-0.05476289405688191
WOOD,0.001388170229941485,-0.0931778624625718,0.022289482283087452,0.10137486596429779,0.024495114025141825,-0.0527874893883076
IYR,0.0006415641927469677,-0.011316125707014199,0.05438949770580081,-0.0022239542122682245,-0.011511549475425169,-0.024404041799979768
