date,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
2013-11-07 00:00:00+00:00,35.7237998808,136.6130509553,155.3638711735,109.1455013106,41.4611302557,65.2583752614,57.1997698251,72.0364624503,14.8278593652,47.8090053721,43.159813749,38.4512280393,30.4089771739,31.7958507997,8.9969098696,23.6283282425,44.6579954925,51.8040068651
2013-11-08 00:00:00+00:00,36.1833417052,138.0506217193,157.459902363,110.3697619934,41.6360086983,65.5060687015,58.1087228288,73.1092380989,15.1733699464,48.5116763806,43.7444910289,39.1647651203,30.6850521266,31.7388105753,9.0908946831,23.8642693203,44.8448118083,51.1091335076
2013-11-11 00:00:00+00:00,36.2324189874,138.155809824,157.4865468272,110.5028338068,41.6017360387,66.0103017759,58.2005362635,73.2443909365,15.1770068999,48.6303091483,43.7090560422,39.1514693983,30.7212586778,31.7306619718,9.107982831,23.9813393207,45.1116922594,51.0691982571
2013-11-12 00:00:00+00:00,36.1610338496,137.9454336146,157.166813256,110.3050003776,41.469039331,65.5149148958,58.0995414853,72.5686267485,15.0351657139,48.6029323558,43.7267735356,39.0264896114,30.802723418,31.4617580568,9.0225420915,23.9363123975,44.5957233872,50.8934831552
2013-11-13 00:00:00+00:00,36.4644206851,138.5502652165,158.4279845649,111.0883497855,41.1974944126,65.3468372043,59.0176758324,73.2021556748,15.1624590859,48.8767002812,43.9827913142,39.240107545,31.065220914,31.616581523,9.1250709789,24.0758958595,44.6846835376,51.2529004091
2013-11-14 00:00:00+00:00,36.6428835296,139.1375654676,159.2184370049,111.6382912328,41.3720213407,66.1164561073,59.4308362886,73.641402397,15.2970263649,49.2827893705,44.1519933755,39.5680686878,30.979230355,31.8936340415,9.2532320881,24.2064739369,45.004940079,51.6602399636
2013-11-15 00:00:00+00:00,36.781192234,139.8982069496,159.911193076,111.9754064933,42.4717343208,68.5845443137,59.632825845,74.0468609099,15.3697654347,49.5702456922,44.3025920687,39.8206874059,31.0471176385,32.0769776199,9.3044965318,24.3505600913,45.1472763196,51.788032765
2013-11-18 00:00:00+00:00,36.6518066718,140.0211557819,159.3516593263,111.7803232149,43.0077938684,70.1857054798,59.1645773279,73.4809084024,15.3624915277,49.3512313519,44.3690326687,39.5769325024,30.9294463471,32.0403089042,9.3044965318,24.3055331681,45.1027962444,51.4286155111
2013-11-19 00:00:00+00:00,36.5670368207,139.924553128,159.0052812908,111.7980661234,43.1132482057,69.8407039025,58.9074997107,73.6076141876,15.3843132486,49.405984937,44.0545471621,39.4528390971,30.8208266936,31.8039994032,9.107982831,24.2695116295,44.8732790564,51.0372500568
2013-11-20 00:00:00+00:00,36.4421128296,139.4327577991,158.5079179577,111.3988506833,42.7617337482,69.2745474681,58.6045153762,73.4302260883,15.3370328533,49.5519944972,43.8596547355,39.1337417689,30.7212586778,31.4536094533,9.0225420915,23.9813393207,44.5957233872,50.5899752519
