date,ITOT,DIA,SPY,XLG,AIA,GXC,XLY,XLE,XLF,XLV,XLI,XLB,XLK,XLU,ICLN,CGW,WOOD,IYR
2010-11-29 00:00:00+00:00,7210,6039410,223441824,62151,14621,57051,8177950,14723238,82147087,7439127,8081626,12826171,7170991,6139260,29559,18175,8066,7298750
2010-11-30 00:00:00+00:00,19172,8055515,233594243,76177,28753,72910,11391185,19268467,76686428,8214720,14234259,15600530,10692748,5634552,42801,84783,15652,9621899
2010-12-01 00:00:00+00:00,38782,7312285,220813253,6682,40359,48987,8645442,19951926,83019819,8571232,16577006,12295969,10727272,5782430,15228,54865,17864,10555427
2010-12-02 00:00:00+00:00,21391,6148071,191000993,6459,18835,145154,7196201,17667631,113629062,5519236,12706221,9373755,9625580,9446172,10335,27779,62103,9225074
2010-12-03 00:00:00+00:00,20055,4550441,151218294,33939,11407,64107,6709074,10011678,90846641,7769398,10593945,7859966,9177391,5911320,11897,18384,72247,6490641
2010-12-06 00:00:00+00:00,5378,6134699,102219003,4991,23506,56905,10153497,11985587,52663031,5092059,16350839,4947727,6437615,4158154,19764,54100,92523,5671519
2010-12-07 00:00:00+00:00,20104,7614605,206338935,15713,66411,729452,7258652,22932396,107205527,6938171,19222116,10538471,9910526,9992400,24730,45976,102433,9668421
2010-12-08 00:00:00+00:00,2932,6503568,137753048,10780,37538,81946,5820536,12746131,97236106,5221950,18080357,11779079,9010815,8467063,35617,25119,5790,11524899
2010-12-09 00:00:00+00:00,12448,5233753,123129634,9485,40249,56018,4318799,10946247,77682106,3670291,10672846,11504971,6231249,6411132,14330,102911,4228,9676059
2010-12-10 00:00:00+00:00,9976,8290271,117451490,6864,29099,41935,4326383,8674811,56592554,5726024,9182625,5205793,5816918,4496772,13306,25210,7619,8554412
2010-12-13 00:00:00+00:00,7351,4756850,133626673,9827,15842,68418,4547582,12884338,50515351,9561427,9198578,6415754,6901043,6372708,19818,45673,8312,4916461
2010-12-14 00:00:00+00:00,13871,5212345,147004202,8328,28381,102579,4322786,11514509,69763355,5587590,9619355,7113622,6291634,5066962,19269,154192,44818,11468222
2010-12-15 00:00:00+00:00,27235,5850794,160353340,13523,25938,71893,3943351,11103617,82478868,5810960,11470782,6690144,4598431,10642805,15649,44174,4418,14738751
2010-12-16 00:00:00+00:00,35509,0,185035200,7600,52437,156400,4485400,11025800,87879400,5071800,9357600,9246200,5935200,5598800,19007,35161,11098,8011561
2010-12-17 00:00:00+00:00,2343,4621179,140935518,10505,34700,99540,4896159,11322351,61893016,6012508,8233671,7193168,5978709,6159028,15694,28081,3431,9081767
2010-12-20 00:00:00+00:00,20181,6741675,118947468,4756,29542,186578,4300594,10220373,40518282,3241704,7327369,5340170,4769198,4995666,10487,81865,15394,8590517
2010-12-21 00:00:00+00:00,57320,4781379,94848761,4551,50346,85560,4485609,8700982,48120536,2946292,7127648,4804992,5557618,3207440,13641,65198,19413,7888498
2010-12-22 00:00:00+00:00,24960,3481605,78820816,10281,16052,822114,3300489,7846527,71365953,2645951,5748503,3163089,5407706,3389274,10551,47763,37310,8375472
2010-12-23 00:00:00+00:00,18149,3578596,70052157,23863,37418,313557,2288807,4525930,29435628,2874012,4177686,3871272,3228144,2873133,24504,37194,11673,5137165
2010-12-27 00:00:00+00:00,5258,4138574,58062305,4480,20489,281197,3368253,4141325,24142480,835149,3150977,2408779,2991320,2141551,22778,24234,22782,3032508
2010-12-28 00:00:00+00:00,9152,4738361,55258057,11438,19705,218383,3056898,5149042,34133723,1634570,3581266,3436034,2907471,1179062,20448,59667,8766,4406614
2010-12-29 00:00:00+00:00,6549,6621847,57970747,2704,33384,124178,1867322,5519556,25211468,1990407,3893360,2569272,3734852,1854669,20513,40162,12590,4285126
2010-12-30 00:00:00+00:00,84266,6599080,76592513,5011,31385,56305,2952174,5976614,36820463,3877200,4316067,3576235,5045910,2475625,23908,45370,10185,2879292
2010-12-31 00:00:00+00:00,9270,3725032,91206861,6714,13382,43836,2212571,4444434,21998623,3908415,4004221,2424684,6352018,2171295,14316,47859,8398,3968447
2011-01-03 00:00:00+00:00,17257,9108635,138503753,9100,62632,92505,4254176,10181717,92223821,6877747,6400748,6051282,7427458,3536331,21200,68612,39394,8214263
2011-01-04 00:00:00+00:00,10222,9774528,137310521,13309,75542,89937,3657399,14536815,53420335,4159055,10059601,9485059,9191627,4979189,21480,62615,34406,11275056
2011-01-05 00:00:00+00:00,11600,7567745,133860404,24744,44261,129397,6155525,11286158,97192804,7962760,9908842,7797223,11835352,4595599,27723,61507,20128,9167005
2011-01-06 00:00:00+00:00,4202,7161553,122398841,29512,78159,181210,3691087,11449151,66943929,4966764,9881667,7769653,11044408,5707064,13557,62899,44177,6797496
2011-01-07 00:00:00+00:00,37094,9249736,155960478,9893,50446,46550,5417321,11080236,178101959,6198911,11827868,11564107,8915519,5091992,12833,49253,15264,10495642
2011-01-10 00:00:00+00:00,49252,6155014,122198298,50653,35203,68501,4562464,10804202,86941749,4480932,9419156,10489613,10333224,6355523,21630,101623,38007,5989187
2011-01-11 00:00:00+00:00,9115,5122555,110183265,8594,30651,67565,3151334,11365149,50057346,3356196,7217217,6604780,8391316,3186643,12765,55225,11299,8320155
2011-01-12 00:00:00+00:00,12732,5251354,107344690,15417,25202,65783,20994519,11020920,81840520,2883922,7173157,6974577,13576142,4187664,16632,50667,14699,7137783
2011-01-13 00:00:00+00:00,3918,6055349,128975422,10890,57310,64446,4640165,11513833,60684918,7414518,9859380,7299608,13043135,6799789,20046,75374,24249,6671997
2011-01-14 00:00:00+00:00,7360,5885278,117607384,13508,44114,36868,4588132,13991422,92069927,3907414,9937349,7919894,7853343,5501016,14180,40296,12654,6098041
2011-01-18 00:00:00+00:00,19864,4665672,114227671,51043,30429,63321,4011098,12531625,61299781,8160055,9008406,8235767,8632918,3594698,18369,82041,9503,7062959
2011-01-19 00:00:00+00:00,8243,9050323,151612850,5730,43792,92643,6315962,15116649,117381524,9936342,11443513,16011221,11194727,4821827,58179,62078,10316,8252323
2011-01-20 00:00:00+00:00,4508,10920180,175498439,228344,24524,73619,6698779,23172439,93797779,8811780,19478550,21827465,15358546,8609254,17957,49143,14094,7770212
2011-01-21 00:00:00+00:00,13179,9662967,151372443,30103,25182,79816,4286993,14573960,75819540,8079682,13339209,11453121,11631642,7604984,5485,29681,18865,5531732
2011-01-24 00:00:00+00:00,2868,12299340,113638998,15942,17042,59773,4842471,13098490,44567982,3711418,9585362,10493357,18491645,3660972,16975,46013,36979,6358656
2011-01-25 00:00:00+00:00,11102,10473836,167374610,31097,19428,178087,5713296,15817615,68980813,8002411,12919231,13190781,11013411,8516857,33324,40526,15967,8312178
2011-01-26 00:00:00+00:00,101208,9154049,141125437,15081,86195,101248,4859411,24211306,55406015,7671704,15748233,11187332,8285476,5554577,41729,50951,24863,5920390
2011-01-27 00:00:00+00:00,27914,7392640,123202443,17961,43560,99384,4360941,14988564,71688494,6871857,9505779,11234977,9046408,3504398,9514,65422,54991,9976379
2011-01-28 00:00:00+00:00,14745,17155827,295509227,24644,113049,64936,11102244,23684835,113102253,11092315,18193591,14283388,16181634,5662390,20139,76746,27444,11241714
2011-01-31 00:00:00+00:00,4797,8964994,149095725,18154,167390,61030,4939660,25113136,63225299,9018846,11530302,9974514,13986494,4012818,27873,59035,22221,7034868
2011-02-01 00:00:00+00:00,11125,7626739,166897171,13952,63016,71554,4844219,20427574,63861421,13051182,13750586,16032005,13142659,5293821,16507,59800,36345,10015598
2011-02-02 00:00:00+00:00,4549,4229700,117643828,45255,100649,33826,4005461,13557547,46608849,4627637,13112882,6178151,8747476,3144956,14229,48428,16950,5691758
2011-02-03 00:00:00+00:00,5216,6337385,145711629,8951,158622,45902,5515316,14515496,51650377,6316295,10043584,10827236,11464441,7417787,17769,52939,18164,4660628
2011-02-04 00:00:00+00:00,6157,5191275,134578637,8794,22670,115180,4875984,13278520,62245518,4380091,8689378,8104628,7567596,4927111,9006,54901,16913,7868910
2011-02-07 00:00:00+00:00,20826,7317044,112329113,12690,57802,35896,4140184,16173598,50195386,9145178,9793021,9180242,9798122,3722163,50971,62075,42584,8855588
2011-02-08 00:00:00+00:00,13568,6031947,98856742,16784,65244,69296,5742984,15595916,48652522,5160013,10041998,7710110,5187943,3741156,14699,57656,41100,3782318
2011-02-09 00:00:00+00:00,7616,7669656,146290644,15549,147880,149210,5755717,16321308,55830728,4933378,12441664,9666247,5187192,4290136,8627,34878,67418,4636982
2011-02-10 00:00:00+00:00,5626,7180123,162504516,10955,61525,110063,4508364,16805107,43594825,4383268,13896732,9011611,7838358,4245842,11537,60236,129061,7841415
2011-02-11 00:00:00+00:00,14148,6889397,137665186,6647,26872,76599,5155347,18862783,73843155,4342048,11210642,10075955,12749573,9252831,12151,57491,14724,5034116
2011-02-14 00:00:00+00:00,12862,4094216,101523079,8095,31794,51119,3527604,15215483,35014752,9054840,6367044,8574268,5941748,4134387,104004,170269,30836,4617686
2011-02-15 00:00:00+00:00,15341,4854615,119454089,8093,57033,32848,3015765,11437655,49269040,5502353,8727886,7201499,6042371,3225554,28683,67546,18585,4653926
2011-02-16 00:00:00+00:00,9941,5680002,130028894,12085,83006,137837,4626306,15903276,35794223,4256119,11612475,9790612,6786433,5412946,37457,67785,48462,4536481
